score_rand_1,key_resp_0.keys,key_resp_0.rt,key_resp_before.keys,key_resp_before.rt,time_instructions,training_resp.keys,training_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,imageFile,participant,group,sitzung,geschlecht*,date,expName,psychopyVersion,OS,frameRate,training_resp_2.keys,training_resp_2.corr,training_resp_2.rt,repeat_training_loop.thisRepN,repeat_training_loop.thisTrialN,repeat_training_loop.thisN,repeat_training_loop.thisIndex,repeat_training_loop.ran,key_resp_break_1.keys,key_resp_break_1.rt,time_trial,key_resp_cue1.keys,key_resp_cue1.rt,key_pause.keys,key_resp_cue2.keys,resp1.keys,resp1.corr,resp1.rt,resp2.keys,resp2.corr,resp2.rt,resp3.keys,resp3.corr,resp3.rt,resp_total_value,resp_total_time,on_time,too_early,resp_total_corr,did_get_here,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,trials_loop.ran,cue1,color1expl,cue2,color2expl,conditions,trial_type,congruent,corrAns1,corrAns2,corrAns3,corrAnsR,numbers_seq,numbers_pr,file_number,Jitter_Fix,Jitter_ICI,img_fix_1,img_fix_2,key_resp_cue2.rt,filler_press,key_pause.rt,bonus
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1267.914,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,109,109,109,1,cues/grey.png,grey,cues/lightblue.png,lightblue,rule,experimental,1,3,3,1,1,3 - 3 - 1,20,3,2.5,3.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1277.43,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,110,110,110,1,cues/white.png,white,cues/pink.png,pink,subrule,experimental,1,1,1,3,1,1 - 1 - 3,28,3,6,2,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1288.947,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,111,111,111,1,cues/grey.png,grey,cues/pink.png,pink,rule,experimental,1,1,1,3,1,1 - 1 - 3,18,3,2,3.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1297.963,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,112,112,112,1,cues/grey.png,grey,cues/blue.png,blue,rule,experimental,1,4,4,2,1,4 - 4 - 2,25,3,3,3,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1307.48,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,113,113,113,1,cues/orange.png,orange,cues/orange.png,orange,spec,experimental,1,3,1,3,1,3 - 1 - 3,9,3,3,6,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1319.995,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,114,114,114,1,cues/black.png,black,cues/green.png,green,general,experimental,1,2,4,2,1,2 - 4 - 2,14,4,2,5.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1331.013,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,115,115,115,1,cues/black.png,black,cues/pink.png,pink,general,experimental,1,1,1,3,1,1 - 1 - 3,10,4,5.5,4,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1344.029,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,116,116,116,1,cues/grey.png,grey,cues/blue.png,blue,rule,experimental,1,4,4,2,1,4 - 4 - 2,25,4,4,3.5,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1355.046,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,117,117,117,1,cues/grey.png,grey,cues/pink.png,pink,rule,experimental,1,1,1,3,1,1 - 1 - 3,18,4,4.5,4,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1367.062,,,,,,0,,,0,,,0,,3,2.5,0,0,1,1,0,118,118,118,1,cues/white.png,white,cues/red.png,red,fill_sub_rule,filler,0,0,0,0,4,0 - 0 - 0,1,4,4.5,2,cues/fix_1.png,cues/fix_2.png,,0,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1377.079,,,,,,0,,,0,,,0,,3,2.5,0,0,0,1,0,119,119,119,1,cues/pink.png,pink,cues/pink.png,pink,spec,experimental,1,1,1,3,1,1 - 1 - 3,2,4,2.5,2,cues/fix_1.png,cues/fix_2.png,,,,
,,,,,,,,,,,,,,1,A,Exp,Männlich,2020-04-11_15h10.47.191,Mental_Exp,2020.1.2,MacIntel,60,,,,,,,,,,,1385.095,,,,,,0,,,0,,,0,,3,2.5,0,0,1,1,0,120,120,120,1,cues/white.png,white,cues/green.png,green,fill_sub_rule,filler,0,0,0,0,4,0 - 0 - 0,1,4,2.5,4,cues/fix_1.png,cues/fix_2.png,,0,,
